Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.300716	Val Loss: 2.305954	Val Acc: 10
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 2.232196	Val Loss: 2.238665	Val Acc: 21
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 2.176570	Val Loss: 2.187294	Val Acc: 25
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 2.221108	Val Loss: 2.176735	Val Acc: 27
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.149523	Val Loss: 2.141418	Val Acc: 32
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 2.153207	Val Loss: 2.147876	Val Acc: 30
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 2.105632	Val Loss: 2.116045	Val Acc: 34
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 2.132512	Val Loss: 2.092686	Val Acc: 36
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.088981	Val Loss: 2.112628	Val Acc: 34
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 2.060633	Val Loss: 2.059525	Val Acc: 40
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 2.081331	Val Loss: 2.066460	Val Acc: 41
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 2.028396	Val Loss: 2.066997	Val Acc: 38
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.111954	Val Loss: 2.052379	Val Acc: 41
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 2.049537	Val Loss: 2.042840	Val Acc: 42
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 2.051912	Val Loss: 2.040117	Val Acc: 42
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 2.026343	Val Loss: 2.021427	Val Acc: 45
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.060485	Val Loss: 2.025599	Val Acc: 44
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 2.054114	Val Loss: 2.033105	Val Acc: 43
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 2.027792	Val Loss: 2.014718	Val Acc: 44
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 2.086021	Val Loss: 2.014425	Val Acc: 44
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.031976	Val Loss: 2.029995	Val Acc: 41
